FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
285,385,15ml,15ml,0.06900
286,341,100ml,100ml,0.74640
286,383,125ml,125ml,0.93300
286,428,30ml,30ml,0.22390
286,640,60ml,60ml,0.44780
287,341,100ml,100ml,0.45500
287,383,125ml,125ml,0.56870
287,385,15ml,15ml,0.06800
291,341,100ml,100ml,0.36120
291,383,125ml,125ml,0.45150
291,385,15ml,15ml,0.05400
293,341,100ml,100ml,0.42910
293,383,125ml,125ml,0.53640
293,385,15ml,15ml,0.06440
394,341,100ml,100ml,0.37250
394,383,125ml,125ml,0.46560
394,385,15ml,15ml,0.05590
414,341,100ml,100ml,0.86644
414,385,15ml,15ml,0.12973
414,415,250ml,250ml,2.16610
414,439,5ml,5ml,0.04324
414,1573,10g,10g,0.10000
415,341,100ml,100ml,1.03550
415,385,15ml,15ml,0.15203
415,415,250ml,250ml,2.58876
415,428,30ml,30ml,0.30405
416,341,100ml,100ml,0.92139
416,385,15ml,15ml,0.13784
416,415,250ml,250ml,2.30347
416,439,5ml,5ml,0.04592
416,1352,10ml,10ml,0.09214
417,341,100ml,100ml,0.92139
417,385,15ml,15ml,0.13784
417,439,5ml,5ml,0.04592
417,1352,10ml,10ml,0.09214
418,341,100ml,100ml,0.91293
418,385,15ml,15ml,0.13682
418,415,250ml,250ml,2.28233
418,439,5ml,5ml,0.04592
418,1352,10ml,10ml,0.09129
419,341,100ml,100ml,0.92139
419,385,15ml,15ml,0.13784
419,415,250ml,250ml,2.30347
419,439,5ml,5ml,0.04592
419,1352,10ml,10ml,0.09214
420,341,100ml,100ml,0.92139
420,385,15ml,15ml,0.13794
420,415,250ml,250ml,2.30347
420,439,5ml,5ml,0.04592
420,1352,10ml,10ml,0.09214
422,341,100ml,100ml,0.91293
422,385,15ml,15ml,0.13682
422,415,250ml,250ml,2.28233
422,439,5ml,5ml,0.04592
422,1352,10ml,10ml,0.09129
423,341,100ml,100ml,0.91293
423,385,15ml,15ml,0.13682
423,415,250ml,250ml,2.28233
423,439,5ml,5ml,0.04592
423,1352,10ml,10ml,0.09129
424,341,100ml,100ml,0.92139
424,385,15ml,15ml,0.13784
424,415,250ml,250ml,2.30347
424,439,5ml,5ml,0.04592
424,1352,10ml,10ml,0.09214
426,341,100ml,100ml,0.92984
426,385,15ml,15ml,0.14189
426,415,250ml,250ml,2.32460
426,428,30ml,30ml,0.28380
426,1352,10ml,10ml,0.09298
428,341,100ml,100ml,1.05664
428,385,15ml,15ml,0.16216
428,415,250ml,250ml,2.64159
428,428,30ml,30ml,0.32432
428,1352,10ml,10ml,0.10566
429,341,100ml,100ml,0.92139
429,385,15ml,15ml,0.13784
429,415,250ml,250ml,2.30347
429,439,5ml,5ml,0.04592
429,1352,10ml,10ml,0.09214
430,341,100ml,100ml,0.92139
430,385,15ml,15ml,0.13784
430,415,250ml,250ml,2.30347
430,439,5ml,5ml,0.04592
430,1352,10ml,10ml,0.09214
432,341,100ml,100ml,0.92139
432,385,15ml,15ml,0.13784
432,415,250ml,250ml,2.30347
432,439,5ml,5ml,0.04592
432,1352,10ml,10ml,0.09214
433,341,100ml,100ml,0.92139
433,385,15ml,15ml,0.13784
433,415,250ml,250ml,2.30347
433,439,5ml,5ml,0.04592
433,1352,10ml,10ml,0.09214
434,341,100ml,100ml,0.92139
434,385,15ml,15ml,0.13784
434,415,250ml,250ml,2.30347
434,439,5ml,5ml,0.04592
434,1352,10ml,10ml,0.09214
435,341,100ml,100ml,0.92139
435,385,15ml,15ml,0.13784
435,415,250ml,250ml,2.30347
435,439,5ml,5ml,0.04592
435,1352,10ml,10ml,0.09214
436,341,100ml,100ml,0.92139
436,385,15ml,15ml,0.13784
436,415,250ml,250ml,2.30347
436,439,5ml,5ml,0.04592
436,1352,10ml,10ml,0.09214
437,341,100ml,100ml,0.92140
437,385,15ml,15ml,0.13784
437,415,250ml,250ml,2.30347
437,439,5ml,5ml,0.04592
437,1352,10ml,10ml,0.09214
438,341,100ml,100ml,0.86644
438,385,15ml,15ml,0.12973
438,415,250ml,250ml,2.16610
438,439,5ml,5ml,0.04324
438,1573,10g,10g,0.10000
439,341,100ml,100ml,0.92139
439,385,15ml,15ml,0.13784
439,415,250ml,250ml,2.30347
439,439,5ml,5ml,0.04592
439,1352,10ml,10ml,0.09214
440,341,100ml,100ml,0.92139
440,385,15ml,15ml,0.13784
440,415,250ml,250ml,2.30347
440,439,5ml,5ml,0.04592
440,1352,10ml,10ml,0.09214
441,341,100ml,100ml,0.92139
441,385,15ml,15ml,0.13784
441,415,250ml,250ml,2.30347
441,439,5ml,5ml,0.04592
441,1352,10ml,10ml,0.09214
442,341,100ml,100ml,0.92139
442,385,15ml,15ml,0.13784
442,415,250ml,250ml,2.30347
442,439,5ml,5ml,0.04592
442,1352,10ml,10ml,0.09214
443,341,100ml,100ml,0.92139
443,385,15ml,15ml,0.13784
443,415,250ml,250ml,2.30347
443,439,5ml,5ml,0.04592
443,1352,10ml,10ml,0.09214
444,341,100ml,100ml,0.92139
444,385,15ml,15ml,0.13784
444,415,250ml,250ml,2.30347
444,439,5ml,5ml,0.04592
444,1352,10ml,10ml,0.09214
445,341,100ml,100ml,0.86644
445,385,15ml,15ml,0.12973
445,415,250ml,250ml,2.16610
445,439,5ml,5ml,0.04324
445,1352,10ml,10ml,0.08664
446,341,100ml,100ml,0.86644
446,385,15ml,15ml,0.12973
446,415,250ml,250ml,2.16610
446,439,5ml,5ml,0.04324
446,1573,10g,10g,0.10000
447,341,100ml,100ml,0.86644
447,385,15ml,15ml,0.12973
447,415,250ml,250ml,2.16610
447,439,5ml,5ml,0.04324
447,1573,10g,10g,0.10000
448,341,100ml,100ml,0.86644
448,385,15ml,15ml,0.12973
448,415,250ml,250ml,2.16610
448,439,5ml,5ml,0.04388
448,1573,10g,10g,0.10000
449,341,100ml,100ml,0.86644
449,385,15ml,15ml,0.12973
449,415,250ml,250ml,2.16610
449,439,5ml,5ml,0.04324
449,1573,10g,10g,0.10000
450,341,100ml,100ml,0.92139
450,385,15ml,15ml,0.14189
450,415,250ml,250ml,2.30347
450,439,5ml,5ml,0.04592
450,1352,10ml,10ml,0.09214
451,341,100ml,100ml,0.92139
451,385,15ml,15ml,0.14189
451,415,250ml,250ml,2.30347
451,439,5ml,5ml,0.04592
451,1352,10ml,10ml,0.09214
452,341,100ml,100ml,0.92139
452,385,15ml,15ml,0.14189
452,415,250ml,250ml,2.30347
452,439,5ml,5ml,0.04592
452,1352,10ml,10ml,0.10000
453,341,100ml,100ml,0.92139
453,385,15ml,15ml,0.14189
453,415,250ml,250ml,2.30347
453,439,5ml,5ml,0.04592
453,1352,10ml,10ml,0.10000
454,341,100ml,100ml,0.86644
454,385,15ml,15ml,0.12973
454,415,250ml,250ml,2.16610
454,439,5ml,5ml,0.04324
454,1573,10g,10g,0.10000
455,341,100ml,100ml,0.86644
455,385,15ml,15ml,0.12973
455,415,250ml,250ml,2.16610
455,439,5ml,5ml,0.04324
455,1573,10g,10g,0.10000
456,341,100ml,100ml,0.92139
456,385,15ml,15ml,0.13784
456,415,250ml,250ml,2.30347
456,439,5ml,5ml,0.04592
456,1352,10ml,10ml,0.09214
457,341,100ml,100ml,0.92139
457,385,15ml,15ml,0.13784
457,415,250ml,250ml,2.30347
457,439,5ml,5ml,0.04592
457,1352,10ml,10ml,0.09214
458,341,100ml,100ml,0.92139
458,385,15ml,15ml,0.13784
458,415,250ml,250ml,2.30347
458,439,5ml,5ml,0.04592
458,1352,10ml,10ml,0.09214
459,341,100ml,100ml,0.92139
459,385,15ml,15ml,0.13784
459,415,250ml,250ml,2.30347
459,439,5ml,5ml,0.04592
459,1352,10ml,10ml,0.09214
460,341,100ml,100ml,0.86644
460,385,15ml,15ml,0.12669
460,415,250ml,250ml,2.16610
460,439,5ml,5ml,0.04592
460,1352,10ml,10ml,0.08664
461,341,100ml,100ml,0.92139
461,385,15ml,15ml,0.13784
461,415,250ml,250ml,2.30347
461,439,5ml,5ml,0.04592
461,1352,10ml,10ml,0.09214
462,341,100ml,100ml,0.92139
462,385,15ml,15ml,0.13784
462,415,250ml,250ml,2.30347
462,439,5ml,5ml,0.04592
462,1352,10ml,10ml,0.09214
463,341,100ml,100ml,0.86644
463,385,15ml,15ml,0.12973
463,415,250ml,250ml,2.16610
463,439,5ml,5ml,0.04324
463,1573,10g,10g,0.10000
464,341,100ml,100ml,0.86644
464,385,15ml,15ml,0.12973
464,415,250ml,250ml,2.16610
464,439,5ml,5ml,0.04324
464,1573,10g,10g,0.10000
523,341,100ml,100ml,0.92140
523,385,15ml,15ml,0.13784
523,415,250ml,250ml,2.30350
523,439,5ml,5ml,0.04585
523,1573,10g,10g,0.10000
524,341,100ml,100ml,1.03556
524,385,15ml,15ml,0.15533
524,415,250ml,250ml,2.58889
524,428,30ml,30ml,0.31066
525,341,100ml,100ml,1.09890
525,385,15ml,15ml,0.16484
525,415,250ml,250ml,2.74725
525,428,30ml,30ml,0.32967
526,341,100ml,100ml,1.05664
526,385,15ml,15ml,0.15850
526,415,250ml,250ml,2.64159
526,428,30ml,30ml,0.31699
527,341,100ml,100ml,0.99324
527,385,15ml,15ml,0.14899
527,415,250ml,250ml,2.48309
528,341,100ml,100ml,1.09890
528,385,15ml,15ml,0.16484
528,415,250ml,250ml,2.74725
528,428,30ml,30ml,0.32967
529,341,100ml,100ml,1.01437
529,385,15ml,15ml,0.15216
529,415,250ml,250ml,2.53593
529,428,30ml,30ml,0.30431
530,341,100ml,100ml,1.03550
530,385,15ml,15ml,0.15533
530,415,250ml,250ml,2.58875
530,428,30ml,30ml,0.31065
531,341,100ml,100ml,0.92984
531,385,15ml,15ml,0.13986
531,415,250ml,250ml,2.32460
531,428,30ml,30ml,0.27970
531,801,1 packet (individual),1 paquet (individuel),0.10000
532,341,100ml,100ml,0.99324
532,385,15ml,15ml,0.14899
532,415,250ml,250ml,2.48309
532,428,30ml,30ml,0.29797
533,341,100ml,100ml,1.05664
533,385,15ml,15ml,0.15850
533,415,250ml,250ml,2.64159
533,428,30ml,30ml,0.31699
534,341,100ml,100ml,1.03550
534,385,15ml,15ml,0.15533
534,415,250ml,250ml,2.58875
534,428,30ml,30ml,0.31065
535,341,100ml,100ml,0.95943
535,385,15ml,15ml,0.14391
535,415,250ml,250ml,2.39858
535,1352,10ml,10ml,0.09590
539,341,100ml,100ml,0.86644
539,385,15ml,15ml,0.12997
539,415,250ml,250ml,2.16610
539,439,5ml,5ml,0.04332
539,1573,10g,10g,0.10000
540,341,100ml,100ml,0.92140
540,385,15ml,15ml,0.13784
540,415,250ml,250ml,2.30350
540,439,5ml,5ml,0.04590
540,1573,10g,10g,0.10000
541,341,100ml,100ml,0.91700
541,385,15ml,15ml,0.13755
541,415,250ml,250ml,2.29250
541,439,5ml,5ml,0.04585
541,1573,10g,10g,0.10000
542,341,100ml,100ml,0.91700
542,385,15ml,15ml,0.13755
542,415,250ml,250ml,2.29250
542,439,5ml,5ml,0.04585
542,1573,10g,10g,0.10000
543,341,100ml,100ml,0.91700
543,385,15ml,15ml,0.13755
543,415,250ml,250ml,2.29250
543,439,5ml,5ml,0.04585
543,1573,10g,10g,0.10000
544,341,100ml,100ml,0.91700
544,385,15ml,15ml,0.13755
544,415,250ml,250ml,2.29250
544,439,5ml,5ml,0.04585
544,1573,10g,10g,0.10000
545,341,100ml,100ml,0.91700
545,385,15ml,15ml,0.13755
545,415,250ml,250ml,2.29250
545,439,5ml,5ml,0.04585
545,1573,10g,10g,0.10000
546,341,100ml,100ml,0.91700
546,385,15ml,15ml,0.13755
546,415,250ml,250ml,2.29250
546,439,5ml,5ml,0.04585
546,1573,10g,10g,0.10000
547,341,100ml,100ml,0.91700
547,385,15ml,15ml,0.13755
547,415,250ml,250ml,2.29250
547,439,5ml,5ml,0.04585
547,1573,10g,10g,0.10000
548,341,100ml,100ml,0.91700
548,385,15ml,15ml,0.13755
548,415,250ml,250ml,2.29250
548,439,5ml,5ml,0.04585
548,1573,10g,10g,0.10000
550,341,100ml,100ml,0.94083
550,385,15ml,15ml,0.14112
550,415,250ml,250ml,2.35208
550,439,5ml,5ml,0.04704
552,341,100ml,100ml,0.86644
552,385,15ml,15ml,0.12997
552,415,250ml,250ml,2.16610
552,439,5ml,5ml,0.04332
552,1573,10g,10g,0.10000
555,1489,125g,125g,1.25000
556,348,100ml diced,100ml en dés,0.57058
556,976,250ml diced,250ml en dés,1.42646
556,1455,100g,100g,1.00000
557,348,100ml diced,100ml en dés,0.57058
557,976,250ml diced,250ml en dés,1.42646
557,1455,100g,100g,1.00000
558,348,100ml diced,100ml en dés,0.57058
558,976,250ml diced,250ml en dés,1.42646
558,1455,100g,100g,1.00000
559,348,100ml diced,100ml en dés,0.57058
559,976,250ml diced,250ml en dés,1.42646
559,1455,100g,100g,1.00000
560,1489,125g,125g,1.25000
561,348,100ml diced,100ml en dés,0.57058
561,976,250ml diced,250ml en dés,1.42646
561,1455,100g,100g,1.00000
562,348,100ml diced,100ml en dés,0.57058
562,976,250ml diced,250ml en dés,1.42646
562,1455,100g,100g,1.00000
563,316,1/2 bird,1/2 volaille,2.99000
563,348,100ml diced,100ml en dés,0.57058
563,976,250ml diced,250ml en dés,1.42646
563,1455,100g,100g,1.00000
564,316,1/2 bird,1/2 volaille,3.34000
564,1122,100ml chopped or diced,100ml haché ou en dés,0.57060
564,1124,250ml chopped or diced,250ml haché ou en dés,1.42650
564,1455,100g,100g,1.00000
565,316,1/2 bird,1/2 volaille,3.29000
565,1489,125g,125g,1.25000
566,316,1/2 bird,1/2 volaille,2.58000
566,341,100ml,100ml,0.57058
566,383,125ml,125ml,0.71323
566,415,250ml,250ml,1.42645
566,1455,100g,100g,1.00000
567,316,1/2 bird,1/2 volaille,2.43000
567,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
567,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
567,1455,100g,100g,1.00000
568,316,1/2 bird,1/2 volaille,2.62000
568,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
568,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
568,1455,100g,100g,1.00000
569,316,1/2 bird,1/2 volaille,1.90000
569,348,100ml diced,100ml en dés,0.57058
569,976,250ml diced,250ml en dés,1.42646
569,1461,55g,55g,0.55000
570,316,1/2 bird,1/2 volaille,0.56000
570,348,100ml diced,100ml en dés,0.57058
570,976,250ml diced,250ml en dés,1.42646
570,1461,55g,55g,0.55000
571,1489,125g,125g,1.25000
572,352,100ml giblets,100ml abattis,0.61285
572,1399,125ml giblets,125ml abats,0.76606
572,1400,250ml giblets,250ml abats,1.53212
572,1455,100g,100g,1.00000
573,352,100ml giblets,100ml abattis,0.61285
573,1124,250ml chopped or diced,250ml haché ou en dés,1.53212
573,1455,100g,100g,1.00000
574,128,1 gizzard,1 gésier,0.37000
574,1489,125g,125g,1.25000
575,128,1 gizzard,1 gésier,0.22000
575,348,100ml diced,100ml en dés,0.61285
575,976,250ml diced,250ml en dés,1.53212
575,1455,100g,100g,1.00000
576,134,1 heart,1 coeur,0.06100
576,1489,125g,125g,1.25000
577,134,1 heart,1 coeur,0.03300
577,348,100ml diced,100ml en dés,0.61285
577,1124,250ml chopped or diced,250ml haché ou en dés,1.53212
577,1455,100g,100g,1.00000
578,155,1 liver,1 foie,0.32000
578,1489,125g,125g,1.25000
579,155,1 liver,1 foie,0.20000
579,348,100ml diced,100ml en dés,0.59172
579,976,250ml diced,250ml en dés,1.47928
579,1455,100g,100g,1.00000
580,316,1/2 bird,1/2 volaille,1.94000
580,1489,125g,125g,1.25000
581,316,1/2 bird,1/2 volaille,1.88000
581,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
581,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
581,1455,100g,100g,1.00000
582,316,1/2 bird,1/2 volaille,1.30000
582,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
582,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
582,1455,100g,100g,1.00000
583,316,1/2 bird,1/2 volaille,1.32000
583,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
583,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
583,1455,100g,100g,1.00000
584,316,1/2 bird,1/2 volaille,1.50000
584,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
584,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
584,1455,100g,100g,1.00000
585,316,1/2 bird,1/2 volaille,2.66000
585,1489,125g,125g,1.25000
586,316,1/2 bird,1/2 volaille,2.78000
586,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
586,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
586,1455,100g,100g,1.00000
587,316,1/2 bird,1/2 volaille,1.84000
587,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
587,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
587,1455,100g,100g,1.00000
588,316,1/2 bird,1/2 volaille,1.67000
588,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
588,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
588,1455,100g,100g,1.00000
589,316,1/2 bird,1/2 volaille,1.84000
589,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
589,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
589,1455,100g,100g,1.00000
590,316,1/2 bird,1/2 volaille,1.47000
590,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
590,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
590,1489,125g,125g,1.25000
591,316,1/2 bird,1/2 volaille,1.06000
591,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
591,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
591,1455,100g,100g,1.00000
592,316,1/2 bird,1/2 volaille,1.07000
592,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
592,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
592,1455,100g,100g,1.00000
593,316,1/2 bird,1/2 volaille,1.19000
593,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
593,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
593,1455,100g,100g,1.00000
594,316,1/2 bird,1/2 volaille,1.82000
594,1489,125g,125g,1.25000
595,316,1/2 bird,1/2 volaille,1.52000
595,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
595,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
595,1455,100g,100g,1.00000
596,316,1/2 bird,1/2 volaille,1.36000
596,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
596,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
596,1455,100g,100g,1.00000
597,316,1/2 bird,1/2 volaille,1.43000
597,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
597,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
597,1455,100g,100g,1.00000
598,315,1/2 back,1/2 dos,1.20000
598,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
598,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
598,1455,100g,100g,1.00000
599,315,1/2 back,1/2 dos,0.72000
599,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
599,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
599,1455,100g,100g,1.00000
600,315,1/2 back,1/2 dos,0.58000
600,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
600,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
600,1455,100g,100g,1.00000
601,477,1 breast,1 poitrine,1.40000
601,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
601,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
601,1455,100g,100g,1.00000
602,477,1 breast,1 poitrine,0.98000
602,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
602,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
602,1455,100g,100g,1.00000
603,477,1 breast,1 poitrine,0.86000
603,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
603,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
603,1455,100g,100g,1.00000
604,86,1 drumstick,1 pilon,0.72000
604,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
604,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
604,1455,100g,100g,1.00000
605,86,1 drumstick,1 pilon,0.49000
605,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
605,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
605,1455,100g,100g,1.00000
606,86,1 drumstick,1 pilon,0.42000
606,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
606,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
606,1455,100g,100g,1.00000
607,150,1 leg,1 cuisse,1.67000
607,1489,125g,125g,1.25000
608,150,1 leg,1 cuisse,1.58000
608,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
608,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
608,1455,100g,100g,1.00000
609,150,1 leg,1 cuisse,1.12000
609,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
609,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
609,1455,100g,100g,1.00000
610,150,1 leg,1 cuisse,1.14000
610,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
610,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
610,1455,100g,100g,1.00000
611,150,1 leg,1 cuisse,1.25000
611,1122,100ml chopped or diced,100ml haché ou en dés,0.57060
611,1124,250ml chopped or diced,250ml haché ou en dés,1.42650
611,1455,100g,100g,1.00000
612,150,1 leg,1 cuisse,1.30000
612,1489,125g,125g,1.25000
613,150,1 leg,1 cuisse,0.94000
613,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
613,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
613,1455,100g,100g,1.00000
614,150,1 leg,1 cuisse,0.95000
614,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
614,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
614,1455,100g,100g,1.00000
615,150,1 leg,1 cuisse,1.01000
615,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
615,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
615,1455,100g,100g,1.00000
616,172,1 neck,1 cou,0.50000
616,1489,125g,125g,1.25000
617,172,1 neck,1 cou,0.52000
617,341,100ml,100ml,0.57058
617,415,250ml,250ml,1.42645
617,1455,100g,100g,1.00000
618,172,1 neck,1 cou,0.36000
618,341,100ml,100ml,0.57058
618,415,250ml,250ml,1.42645
618,1455,100g,100g,1.00000
619,172,1 neck,1 cou,0.38000
619,341,100ml,100ml,0.57058
619,415,250ml,250ml,1.42645
619,1455,100g,100g,1.00000
620,172,1 neck,1 cou,0.20000
620,1489,125g,125g,1.25000
621,172,1 neck,1 cou,0.22000
621,341,100ml,100ml,0.57058
621,415,250ml,250ml,1.42645
621,1455,100g,100g,1.00000
622,172,1 neck,1 cou,0.18000
622,341,100ml,100ml,0.57058
622,415,250ml,250ml,1.42645
622,1455,100g,100g,1.00000
623,297,1 thigh,1 haut de cuisse,0.86000
623,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
623,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
623,1455,100g,100g,1.00000
624,297,1 thigh,1 haut de cuisse,0.62000
624,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
624,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
624,1455,100g,100g,1.00000
625,297,1 thigh,1 haut de cuisse,0.52000
625,1122,100ml chopped or diced,100ml haché ou en dés,0.57058
625,1124,250ml chopped or diced,250ml haché ou en dés,1.42645
625,1455,100g,100g,1.00000
626,307,1 wing,1 aile,0.49000
626,1489,125g,125g,1.25000
627,307,1 wing,1 aile,0.49000
627,341,100ml,100ml,0.57058
627,415,250ml,250ml,1.42645
627,1455,100g,100g,1.00000
628,307,1 wing,1 aile,0.32000
628,341,100ml,100ml,0.57058
628,415,250ml,250ml,1.42645
628,1455,100g,100g,1.00000
629,307,1 wing,1 aile,0.34000
629,341,100ml,100ml,0.57058
629,415,250ml,250ml,1.42645
629,1455,100g,100g,1.00000
630,307,1 wing,1 aile,0.40000
630,341,100ml,100ml,0.57058
630,415,250ml,250ml,1.42645
630,1455,100g,100g,1.00000
631,307,1 wing,1 aile,0.29000
631,1489,125g,125g,1.25000
632,307,1 wing,1 aile,0.20000
632,341,100ml,100ml,0.57058
